video_id 	video_url 	text 	start 	duration 
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	The biggest bank collapse	0.033	1.535
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	since the 2008 financial crisis.	1.568	2.302
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	And it shut down today.	3.87	1.235
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	It's called the Silicon Valley Bank,	5.105	1.368
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	and it is one of the tech industry's	6.473	1.535
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	largest lenders also lend to individuals	8.008	2.135
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	across the country.	10.176	0.835
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	It is now under control	11.011	1.134
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	of the federal government.	12.145	1.268
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	It was a sudden implosion	13.413	1.201
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	and it came after a run on deposits.	14.614	2.236
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	So the bank stock lost	17.25	1.168
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	80% of its value this week.	18.418	1.501
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	60% in one day alone.	19.919	1.869
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Yesterday, this morning, shares halted.	21.788	2.336
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	It was over quickly.	24.491	1.234
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	And then police showed up	25.725	1.035
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	at the bank headquarters	26.76	0.8
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	in California today.	27.56	0.968
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	You're looking at that here	28.528	1.735
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Customers reportedly	30.263	1.235
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	even lined up at a bank	31.498	0.8
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	branch on Park Avenue in New York City.	32.298	2.136
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	The NYPD showed up there.	34.434	1.568
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Those customers	36.002	0.868
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	demanding their deposits back.	36.87	2.102
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Now to be clear,	38.972	1.001
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Silicon Valley	39.973	0.734
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Bank is a huge bank and its customers	40.707	1.835
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	include individuals as well as household	42.542	2.135
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	names, you may know, like Airbnb,	44.677	1.936
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Pinterest, Cisco.	46.613	1.635
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	And this is a way bigger story.	48.248	2.135
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	The entire banking	50.617	0.867
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	industry is feeling the impact.	51.484	1.702
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	US banks at one	53.186	1.001
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	point had lost over	54.187	0.934
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	$100 billion in stock market value	55.121	2.336
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	in just two days.	57.457	1.134
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	And there are fears	58.591	0.868
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	now that this could spread beyond banking	59.459	2.302
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	to other parts of the economy.	61.761	1.568
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	This is like the SNL	65.265	1.468
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	crisis in the eighties.	66.733	1.535
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	We're not talking	68.268	0.567
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	about a failure of this bank,	68.835	1.235
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	but the banks could, you know, fail.	70.07	2.769
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Not all of this is clearly an example	72.839	2.803
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	of something breaking.	75.642	1.201
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	We can assume that there are serious	76.843	1.602
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	contagion here.	78.445	1.901
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Okay.	80.847	0.4
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	So when you use the word contagion,	81.247	1.368
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	it begs the question,	82.615	1.235
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	why could this happen at other banks?	83.85	2.069
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Well, for one basic reason,	85.919	1.434
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	Silicon Valley Bank was doing	87.353	1.335
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	what a lot of other	88.688	0.868
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	banks are doing right now	89.556	1.668
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	slip to customer deposits.	91.224	2.002
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	And they went	93.226	0.667
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	and invested that money in other things	93.893	1.835
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	like U.S. government debt and mortgages.	95.728	2.103
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	And they've been doing that	97.831	0.834
rlj2Y466wxg	https://www.youtube.com/watch?v=rlj2Y466wxg	for quite a while.	98.665	1.134
